jn	abs	pmid
51. PLoS One. 2014 Feb 25;9(2):e89402. doi: 10.1371/journal.pone.0089402. eCollection	2014.  Pseudomonas-derived ceramidase induces production of inflammatory mediators from  human keratinocytes via sphingosine-1-phosphate.  Oizumi A(1), Nakayama H(2), Okino N(3), Iwahara C(4), Kina K(4), Matsumoto R(4),  Ogawa H(4), Takamori K(1), Ito M(3), Suga Y(5), Iwabuchi K(2).  Author information:  (1)Institute for Environmental and Gender-specific Medicine, Juntendo University  Graduate School of Medicine, Urayasu, Japan ; Department of Dermatology, Juntendo University Urayasu Hospital, Urayasu, Japan. (2)Institute for Environmental and Gender-specific Medicine, Juntendo University Graduate School of Medicine, Urayasu, Japan ; Laboratory of Biochemistry, Juntendo University School of Health Care and Nursing, Urayasu, Japan. (3)Department of Bioscience and Biotechnology,  Graduate School of Bioresource and Bioenvironmental Sciences, Kyushu University,  Fukuoka, Japan. (4)Institute for Environmental and Gender-specific Medicine, Juntendo University Graduate School of Medicine, Urayasu, Japan. (5)Department of Dermatology, Juntendo University Urayasu Hospital, Urayasu, Japan.  Ceramide is important for water retention and permeability barrier functions in the stratum corneum, and plays a key role in the pathogenesis of atopic dermatitis (AD). A Pseudomonas aeruginosa-derived neutral ceramidase (PaCDase) isolated from a patient with AD was shown to effectively degrade ceramide in the  presence of Staphylococcus aureus-derived lipids or neutral detergents. However,  the effect of ceramide metabolites on the functions of differentiating keratinocytes is poorly understood. We found that the ceramide metabolite sphingosine-1-phosphate (S1P) stimulated the production of inflammatory mediators such as TNF-α and IL-8 from three-dimensionally cultured human primary keratinocytes (termed "3D keratinocytes"), which form a stratum corneum. PaCDase  alone did not affect TNF-α gene expression in 3D keratinocytes. In the presence of the detergent Triton X-100, which damages stratum corneum structure, PaCDase,  but not heat-inactivated PaCDase or PaCDase-inactive mutant, induced the production of TNF-α, endothelin-1, and IL-8, indicating that this production was  dependent on ceramidase activity. Among various ceramide metabolites, sphingosine and S1P enhanced the gene expression of TNF-α, endothelin-1, and IL-8. The PaCDase-enhanced expression of these genes was inhibited by a sphingosine kinase  inhibitor and by an S1P receptor antagonist VPC 23019. The TNF-α-binding antibody infliximab suppressed the PaCDase-induced upregulation of IL-8, but not TNF-α, mRNA. PaCDase induced NF-κB p65 phosphorylation. The NF-κB inhibitor curcumin significantly inhibited PaCDase-induced expression of IL-8 and endothelin-1. VPC  23019 and infliximab inhibited PaCDase-induced NF-κB p65 phosphorylation and reduction in the protein level of the NF-κB inhibitor IκBα. Collectively, these findings suggest that (i) 3D keratinocytes produce S1P from sphingosine, which is produced through the hydrolysis of ceramide by PaCDase, (ii) S1P induces the production of TNF-α via S1P receptors, and (iii) released TNF-α stimulates the production of inflammatory mediators such as IL-8.  DOI: 10.1371/journal.pone.0089402  PMCID: PMC3934885	24586752
52. Mycoses. 2014 Mar;57(3):176-83. doi: 10.1111/myc.12140. Epub 2013 Oct 6.	 Tacrolimus does not alter the production of several cytokines and antimicrobial peptide in Malassezia furfur-infected-keratinocytes.  Balato A(1), Paoletti I, De Gregorio V, Cantelli M, Ayala F, Donnarumma G.  Author information:  (1)Department of Dermatology, University of Naples Federico II, Naples, Italy.  Topical immunosuppressant therapy is widely used in the treatment of inflammatory skin diseases, such as atopic dermatitis and psoriasis. Besides its beneficial therapeutic effects, application of topical anti-inflammatory drugs may render the epidermis more vulnerable to invading pathogens by suppressing innate immune  responses in keratinocytes (KCs). Cytokines, chemokines and antimicrobial peptides (AMPs) produced by epithelial cells enable them to participate in innate and acquired immune responses. The aim of the present work was to study the influence of tacrolimus (FK506) on KCs infected with Malassezia furfur (M. furfur), evaluating the expression of pro-inflammatory cytokines IL-1α and IL-6,  chemokine IL-8, anti-inflammatory cytokines transforming growth factor beta1 (TGF-β1) and IL-10 and AMP β-defensin-2. Human KCs were obtained from surgical specimens of normal adult skin. The expression of mRNAs in KCs: FK506-treated, FK506-treated and M. furfur-infected as well as only M. furfur-infected was quantified by real-time quantitative polymerase chain reaction. Next, the production of the AMP β-defensin-2 and of the above-mentioned pro-inflammatory and anti-inflammatory cytokines was evaluated using enzyme-linked immunosorbent assay. In this study, FK506 did not alter cytokine and AMP production by KCs; this led us to hypothesise that it may not enhance the risk of mycotic skin infections.  © 2013 Blackwell Verlag GmbH.  DOI: 10.1111/myc.12140 	24512536
53. J Invest Dermatol. 2014 Aug;134(8):2114-21. doi: 10.1038/jid.2014.43. Epub 2014	Jan 27.  Th2 cytokines increase Staphylococcus aureus alpha toxin-induced keratinocyte death through the signal transducer and activator of transcription 6 (STAT6).  Brauweiler AM(1), Goleva E(1), Leung DY(1).  Author information:  (1)Department of Pediatrics, National Jewish Health, Denver, Colorado, USA.  Comment in     J Invest Dermatol. 2014 Aug;134(8):2069-71.  Atopic dermatitis (AD) is an inflammatory skin disease characterized by increased T-helper type 2 (Th2) cytokine expression. AD skin lesions are often exacerbated  by Staphylococcus aureus-mediated secretion of the lytic virulence factor, alpha  toxin. In the current study, we report that alpha toxin-induced cell death is greater in the skin from patients with AD compared with controls. Furthermore, we find that keratinocyte differentiation and Th2 cytokine exposure influence sensitivity to S. aureus alpha toxin-induced cell death. Differentiated keratinocytes are protected from cell death, whereas cells treated with Th2 cytokines have increased sensitivity to alpha toxin-induced lethality. Our data demonstrate that the downstream effects mediated by Th2 cytokines are dependent upon host expression of STAT6. We determine that Th2 cytokines induce biochemical changes that decrease levels of acid sphingomyelinase (SMase), an enzyme that cleaves sphingomyelin, an alpha toxin receptor. Furthermore, Th2 cytokines inhibit the production of lamellar bodies, organelles critical for epidermal barrier formation. Finally, we determine that SMase and its enzymatic product, phosphocholine, prevent Th2-mediated increases in alpha toxin-induced cell death. Therefore, our studies may help explain the increased propensity for Th2 cytokines to exacerbate S. aureus-induced skin disease, and provide a potential therapeutic target for treatment of AD.  DOI: 10.1038/jid.2014.43  PMCID: PMC4102636	24468745
54. Mol Immunol. 2014 May;59(1):10-8. doi: 10.1016/j.molimm.2013.11.015. Epub 2014	Jan 14.  Sphingosine-1-phosphate differently regulates the cytokine production of IL-12, IL-23 and IL-27 in activated murine bone marrow derived dendritic cells.  Schaper K(1), Kietzmann M(2), Bäumer W(3).  Author information:  (1)Department of Pharmacology, Toxicology and Pharmacy, University of Veterinary  Medicine Hannover, Foundation, Hannover, Germany. Electronic address: katrin.schaper@tiho-hannover.de. (2)Department of Pharmacology, Toxicology and Pharmacy, University of Veterinary Medicine Hannover, Foundation, Hannover, Germany. Electronic address: manfred.kietzmann@tiho-hannover.de. (3)College of Veterinary Medicine, Department of Molecular Biomedical Sciences, North Carolina  State University, Raleigh, NC, USA. Electronic address: wbaeumer@ncsu.edu.  Sphingosine-1-phosphate (S1P) modulates many cell functions such as lymphocyte trafficking and signaling as well as keratinocyte proliferation. However, less is known about the specific effects of S1P on cytokine production, particularly on the interaction between dendritic cells (DCs) and keratinocytes, cell types which are crucial for the initiation and maintenance of chronic inflammatory skin diseases like atopic dermatitis or psoriasis. Especially the cytokines of the IL-12 family play a dominant role in many inflammatory diseases as they have a significant impact on T-helper cell function. In the present study we show that S1P decreased the production of the pro-inflammatory cytokines IL-12 and IL-23 in LPS-stimulated DCs via the common subunit p40 as well as in the crosstalk with activated keratinocytes. By using specific S1P receptor agonists (SEW2871, FTY720-P) and antagonist (JTE013) we identified an important role for S1P receptor 1 in the modulation of the cytokine profile. While diminishing IL-12 and IL-23 secretion, S1P enhanced IL-27 production in DCs. To elucidate the mechanism of the different impact on the IL-12 family cytokine production, we investigated  the mitogen-activated protein kinase (MAPK) and phosphatidylinositide 3-kinase (PI3K) pathways in DCs. By using specific MAPK-Inhibitors (U0126, SB202190, SP600125) we demonstrated that ERK, p38 and JNK differently regulate each pathway of each cytokine. While p38 and JNK did not seem to play a role in the modulation properties of S1P on cytokine production, ERK is at least partially involved in the S1P mediated modulation of IL-12 and IL-27. The PI3K-Inhibitor abrogated the  S1P-induced decrease of IL-12 and IL-23 secretion, while it had no influence on the S1P-induced increase of IL-27 production. These data implicate, that S1P has  an anti-inflammatory impact on the production of IL-12 family cytokines, indicating therapeutic potential for S1P treatment of several inflammatory diseases like psoriasis.  Copyright © 2013 Elsevier Ltd. All rights reserved.  DOI: 10.1016/j.molimm.2013.11.015 	24434636
55. Exp Dermatol. 2013 Nov;22(11):705-9. doi: 10.1111/exd.12239.	 Leukotrienes orchestrating allergic skin inflammation.  Sadik CD(1), Sezin T, Kim ND.  Author information:  (1)Department of Dermatology, Allergy, and Venereology, University of Lübeck, Lübeck, Germany.  Leukotrienes constitute a group of lipid mediators, which may be subdivided into  two groups, with leukotriene B4 on the one hand and cysteinyl leukotrienes on the other. Although leukotrienes are abundantly expressed in skin affected by diverse chronic inflammatory diseases, including atopic dermatitis, psoriasis, pemphigus  vulgaris and bullous pemphigoid, their pathological roles in these diseases have  remained elusive. Recent data now reveal that both leukotriene B4 and cysteinyl leukotrienes are indispensable in the pathogenesis of atopic dermatitis, with leukotriene B4 initiating the recruitment of inflammatory cells, particularly neutrophils and TH 2 cells into the skin, and cysteinyl leukotrienes later inducing characteristic structural alterations of chronically affected skin, specifically skin fibrosis and keratinocyte proliferation. Thus, these results reveal a sequential cooperation of LTB4 and cysteinyl leukotrienes to initiate and perpetuate allergic skin inflammation. These new insights highlight leukotrienes as promising therapeutic targets in allergic skin inflammation and should encourage more research into the role of leukotrienes in other inflammatory skin diseases.  © 2013 John Wiley & Sons A/S. Published by John Wiley & Sons Ltd.  DOI: 10.1111/exd.12239 	24433180
56. J Dermatol Sci. 2014 Apr;74(1):64-71. doi: 10.1016/j.jdermsci.2013.12.004. Epub	2013 Dec 17.  Staphylococcus aureus inhibits terminal differentiation of normal human keratinocytes by stimulating interleukin-6 secretion.  Son ED(1), Kim HJ(1), Park T(1), Shin K(1), Bae IH(1), Lim KM(2), Cho EG(3), Lee  TR(4).  Author information:  (1)AmorePacific Corp/R&D Center, 314-1, Bora-dong, Giheung-gu, Yongin-si, Gyeonggi-do, Republic of Korea. (2)College of Pharmacy, Ewha Womans University, Seoul, Republic of Korea. (3)AmorePacific Corp/R&D Center, 314-1, Bora-dong, Giheung-gu, Yongin-si, Gyeonggi-do, Republic of Korea. Electronic address: egcho@amorepacific.com. (4)AmorePacific Corp/R&D Center, 314-1, Bora-dong, Giheung-gu, Yongin-si, Gyeonggi-do, Republic of Korea. Electronic address: TRLee@amorepacific.com.  BACKGROUND: Staphylococcus aureus (S. aureus) is found on the skin of approximately 90% of patients with atopic dermatitis and approximately 20% of apparently healthy subjects. S. aureus induces keratinocytes and immune cells to  secrete immunoregulatory factors that cause epidermal barrier dysfunction in atopic skin. OBJECTIVE: This study examined factors that cause epidermal permeability barrier  dysfunction in skin colonized by S. aureus. METHODS: We examined the effect of S. aureus on keratinocyte differentiation in the stratum corneum (SC) of in vivo skin, normal human keratinocytes (NHKs) and a reconstructed human epidermis (RHE) model. The fold change in expression of the terminal differentiation markers and the level of secreted cytokines were investigated. RESULTS: The SC displayed decreased expression of keratin 10 (KRT 10). NHKs treated with S. aureus extracts increased expression of interleukin (IL)-6 and significantly reduced expression of the terminal differentiation markers KRT 1, KRT 10, loricrin (LOR), and filaggrin (FLG); however, the expression of basal layer markers (KRT 5, KRT 14) remained unchanged. Treatment of NHKs with an anti-IL-6 antibody in combination with IL-6 or the S. aureus extracts inhibited the decrease in KRT 10 mRNA or protein expression. After the RHEs were exposed to the S. aureus extracts, KRT 1 and KRT 10 protein levels decreased. CONCLUSIONS: These findings suggest that S. aureus inhibits the terminal differentiation of keratinocytes by stimulating IL-6 secretion.  Copyright © 2013 Japanese Society for Investigative Dermatology. Published by Elsevier Ireland Ltd. All rights reserved.  DOI: 10.1016/j.jdermsci.2013.12.004 	24398033
57. Methods Enzymol. 2014;535:371-87. doi: 10.1016/B978-0-12-397925-4.00021-3.	 TSLP expression induced via Toll-like receptor pathways in human keratinocytes.  Takai T(1), Chen X(2), Xie Y(3), Vu AT(4), Le TA(5), Kinoshita H(6), Kawasaki J(6), Kamijo S(7), Hara M(7), Ushio H(7), Baba T(8), Hiramatsu K(8), Ikeda S(6),  Ogawa H(6), Okumura K(7).  Author information:  (1)Atopy (Allergy) Research Center, Juntendo University Graduate School of Medicine, Tokyo, Japan. Electronic address: t-takai@juntendo.ac.jp. (2)Atopy (Allergy) Research Center, Juntendo University Graduate School of Medicine, Tokyo, Japan; Department of Dermatology, Peking University People's Hospital, Beijing, China. (3)Atopy (Allergy) Research Center, Juntendo University Graduate  School of Medicine, Tokyo, Japan; Department of Dermatology, The 3rd Affiliated Hospital of Sun Yat-sen University, Guangzhou, China. (4)Atopy (Allergy) Research Center, Juntendo University Graduate School of Medicine, Tokyo, Japan; Department of Dermatology and Allergology, Juntendo University Graduate School of Medicine,  Tokyo, Japan; Quyhoa National Leprosy-Dermatology Hospital, Quynhon, Vietnam. (5)Atopy (Allergy) Research Center, Juntendo University Graduate School of Medicine, Tokyo, Japan; Department of Dermatology and Allergology, Juntendo University Graduate School of Medicine, Tokyo, Japan; Department of Dermatology and Allergology, Institute of Clinical Medical and Pharmaceutical Sciences 108, Hanoi, Vietnam. (6)Atopy (Allergy) Research Center, Juntendo University Graduate  School of Medicine, Tokyo, Japan; Department of Dermatology and Allergology, Juntendo University Graduate School of Medicine, Tokyo, Japan. (7)Atopy (Allergy) Research Center, Juntendo University Graduate School of Medicine, Tokyo, Japan. (8)Department of Microbiology and Infection Control Science, Juntendo University  Graduate School of Medicine, Tokyo, Japan.  The skin epidermis and mucosal epithelia (airway, ocular tissues, gut, and so on) are located at the interface between the body and environment and have critical roles in the response to various stimuli. Thymic stromal lymphopoietin (TSLP), a  cytokine expressed mainly by epidermal keratinocytes (KCs) and mucosal epithelial cells, is a critical factor linking the innate response at barrier surfaces to Th2-skewed acquired immune response. TSLP is highly expressed in skin lesions of  atopic dermatitis patients. Here, we describe on Toll-like receptor (TLR)-mediated induction of TSLP expression in primary cultured human KCs, placing emphasis on experimental methods used in our studies. Double-stranded RNA (TLR3 ligand), flagellin (TLR5 ligand), and diacylated lipopeptide (TLR2-TLR6 ligand) stimulated human KCs to express TSLP and Staphylococcus aureus membranes  did so via the TLR2-TLR6 pathway. Atopic cytokine milieu upregulated the TLR-mediated induction of TSLP. Culturing in the absence of glucocorticoid before stimulation enhanced the TSLP expression. Extracellular double-stranded RNA induced TSLP via endosomal acidification- and NF-κB-dependent pathway. Specific measurement of the long TSLP transcript, which contributes to the production of the TSLP protein, rather than total or the short transcript is useful for accurate detection of functional human TSLP gene expression. The results suggest  that environment-, infection-, and/or self-derived TLR ligands contribute to the  initiation and/or amplification of Th2-type skin inflammation including atopic dermatitis and atopic march through the induction of TSLP expression in KCs and include information helpful for understanding the role of the gene-environment interaction relevant in allergic diseases.  © 2014 Elsevier Inc. All rights reserved.  DOI: 10.1016/B978-0-12-397925-4.00021-3 	24377934
58. Exp Dermatol. 2014 Feb;23(2):138-40. doi: 10.1111/exd.12313.	 Increased expression of the histamine H4 receptor following differentiation and mediation of the H4 receptor on interleukin-8 mRNA expression in HaCaT keratinocytes.  Suwa E(1), Yamaura K, Sato S, Ueno K.  Author information:  (1)Department of Geriatric Pharmacology and Therapeutics, Graduate School of Pharmaceutical Sciences, Chiba University, Chuo-ku, Chiba, Japan.  Recent in vivo studies have demonstrated involvement of the histamine H4 receptor in pruritus and skin inflammation. We previously reported that an H4 receptor antagonist attenuated scratching behaviour and improved skin lesions in an experimental model of atopic dermatitis. We also reported the expression of the H4 receptor in human epidermal tissues. In this study, we investigated the expression of H4 receptor mRNA and the function of the receptor in a culture system that mimics in vivo inflammation on the HaCaT human keratinocyte cell line. Increased expression of the H4 receptor was observed in HaCaT cells following differentiation. Treatment of HaCaT cells with histamine and TNFα enhanced the mRNA expression of interleukin (IL)-8. These increases in expression were significantly inhibited by the H4 receptor antagonist JNJ7777120. Our results indicate that IL-8 mRNA expression might be enhanced by histamine and TNFα via H4 receptor stimulation in keratinocytes.  © 2013 John Wiley & Sons A/S. Published by John Wiley & Sons Ltd.  DOI: 10.1111/exd.12313 	24372819
59. J Invest Dermatol. 2014 May;134(5):1295-304. doi: 10.1038/jid.2013.500. Epub 2013	Nov 25.  Periostin controls keratinocyte proliferation and differentiation by interacting  with the paracrine IL-1α/IL-6 loop.  Taniguchi K(1), Arima K(1), Masuoka M(1), Ohta S(2), Shiraishi H(1), Ontsuka K(1), Suzuki S(1), Inamitsu M(1), Yamamoto K(1), Simmons O(3), Toda S(4), Conway  SJ(3), Hamasaki Y(5), Izuhara K(6).  Author information:  (1)Division of Medical Biochemistry, Department of Biomolecular Sciences, Saga Medical School, Saga, Japan. (2)Department of Laboratory Medicine, Saga Medical School, Saga, Japan. (3)Herman B Wells Center for Pediatric Research, Indiana University School of Medicine, Indianapolis, Indiana, USA. (4)Department of Pathology and Biodefense, Saga Medical School, Saga, Japan. (5)Department of Pediatrics, Saga Medical School, Saga, Japan. (6)1] Division of Medical Biochemistry, Department of Biomolecular Sciences, Saga Medical School, Saga, Japan [2] Department of Laboratory Medicine, Saga Medical School, Saga, Japan.  Proliferation and differentiation of keratinocytes are normally well balanced, but this balance can be perturbed in wound healing and is dysregulated in pathological conditions such as atopic dermatitis. Epithelial-mesenchymal interaction affects this event via the cross-talk of cytokines and growth factors. Periostin, a matricellular protein, has an important role during reepithelialization in wound healing and is critical for hyperproliferation of keratinocytes in atopic dermatitis. Here we investigated how periostin regulates  proliferation and differentiation of keratinocytes in the epithelial-mesenchymal  interactions using a three-dimensional organotypic air-liquid interface coculture system. The release of IL-1α from keratinocytes and subsequent IL-6 production from fibroblasts were critical for keratinocyte proliferation and differentiation. Periostin secreted from fibroblasts was required for IL-1α-induced IL-6 production and enhanced IL-6 production by activation of the NF-κB pathway synergistically with IL-1α. Thus, the combination of an autocrine loop of periostin and a paracrine loop composed of IL-1α and IL-6 regulates keratinocyte proliferation and differentiation in the epithelial-mesenchymal interactions, and periostin tunes the magnitude of keratinocyte proliferation and differentiation by interacting with the paracrine IL-1α/IL-6 loop.  DOI: 10.1038/jid.2013.500 	24352037
60. Clin Exp Dermatol. 2014 Jan;39(1):48-53. doi: 10.1111/ced.12206.	 Promoter demethylation contributes to TSLP overexpression in skin lesions of patients with atopic dermatitis.  Luo Y(1), Zhou B, Zhao M, Tang J, Lu Q.  Author information:  (1)Department of Dermatology, Hunan Children's Hospital, Changsha, Hunan, China.  BACKGROUND: Thymic stromal lymphopoietin (TSLP) plays an important role in promoting T-cell homeostasis, and appears to be a central player in the development of allergic symptoms, especially in asthma and atopic dermatitis (AD). Human TSLP is overexpressed in keratinocytes of patients with acute and chronic AD. However, the mechanism of TSLP overexpression remains unclear. AIM: To investigate whether TSLP expression is regulated by aberrant DNA methylation modification of the TSLP promoter in keratinocytes of patients with AD. METHODS: mRNA and protein levels of TSLP in lesional skin samples from 10 children with AD and 10 healthy controls were measured by real-time quantitative  reverse transcriptase-PCR and immunohistochemistry. Bisulfite sequencing was performed to determine the methylation status of the TSLP promoter, and 5-azacytidine (5-aza), a DNA methyltransferase inhibitor, was used to determine the influence of DNA methylation on TSLP expression. RESULTS: TSLP mRNA and protein expression levels were increased in skin lesions from patients with AD compared with healthy controls. Moreover, promoter hypomethylation of the TSLP gene was identified in skin lesions from patients with AD, and treating keratinocytes with 5-aza reduced the methylation level of the TSLP promoter and increased TSLP transcription. CONCLUSIONS: DNA demethylation of a specific regulatory region of the TSLP gene may contribute to TSLP overexpression in skin lesions in patients with AD.  © 2013 British Association of Dermatologists.  DOI: 10.1111/ced.12206 	24341479
61. J Immunol. 2014 Feb 1;192(3):859-66. doi: 10.4049/jimmunol.1301062. Epub 2013 Dec	13.  EGFR signaling blunts allergen-induced IL-6 production and Th17 responses in the  skin and attenuates development and relapse of atopic dermatitis.  Zhang Z(1), Xiao C, Gibson AM, Bass SA, Khurana Hershey GK.  Author information:  (1)Division of Asthma Research, Cincinnati Children's Hospital Medical Center and Department of Pediatrics, University of Cincinnati College of Medicine, Cincinnati, OH 45229.  Despite the important role for epidermal growth factor (EGF) in epithelial homeostasis and wound healing, it has not been investigated in atopic dermatitis  (AD). We used AD animal models to explore the role of EGF in AD. In an acute AD model, skin transepidermal water loss was significantly attenuated in EGF-treated mice. Blockade of EGFR signaling genetically or pharmacologically confirms a protective role for EGFR signaling in AD. In a chronic/relapsing AD model, EGF treatment of mice with established AD resulted in an attenuation of AD exacerbation (skin epithelial thickness, cutaneous inflammation, and total and allergen specific IgE) following cutaneous allergen rechallenge. EGF treatment did not alter expression of skin barrier junction proteins or antimicrobial peptides in the AD model. However, EGF treatment attenuated allergen-induced expression of IL-17A, CXCL1, and CXCL2 and neutrophil accumulation in AD skin following cutaneous allergen exposure. IL-17A production was decreased in the in  vitro restimulated skin-draining lymph node cells from the EGF-treated mice. Similarly, IL-17A was increased in waved-2 mice skin following allergen exposure. Whereas IL-6 and IL-1β expression was attenuated in the skin of EGF-treated mice, EGF treatment also suppressed allergen-induced IL-6 production by keratinocytes.  Given the central role of IL-6 in priming Th17 differentiation in the skin, this  effect of EGF on keratinocytes may contribute to the protective roles for EGFR in AD pathogenesis. In conclusion, our study provides evidence for a previously unrecognized protective role for EGF in AD and a new role for EGF in modulating IL-17 responses in the skin.  DOI: 10.4049/jimmunol.1301062  PMCID: PMC3946981	24337738
62. J Invest Dermatol. 2014 May;134(5):1342-50. doi: 10.1038/jid.2013.503. Epub 2013 	Nov 26.  In vitro assessment of IL-4- or IL-13-mediated changes in the structural components of keratinocytes in mice and humans.  Omori-Miyake M(1), Yamashita M(2), Tsunemi Y(3), Kawashima M(3), Yagi J(1).  Author information:  (1)Department of Microbiology and Immunology, Tokyo Women's Medical University, Tokyo, Japan. (2)Laboratory of Medical Genomics, Department of Human Genome Research, Kazusa DNA Research Institute, Kisarazu, Chiba, Japan. (3)Department of Dermatology, Tokyo Women's Medical University, Tokyo, Japan.  Comment in     J Invest Dermatol. 2014 May;134(5):1194-6.  T helper type 2 (Th2) cytokines, IL-4 and IL-13, attenuate the expression of genes that regulate epidermal cellular structures and the barrier function at the terminal stage of keratinocyte differentiation. However, whether these Th2 cytokines act at earlier stages remains unknown. We investigated the roles of cytokines in expression levels of mRNAs and/or proteins in primary mouse keratinocytes and human keratinocyte HaCaT cells at earlier stages. We showed that IL-4 downregulated the expression levels of Krt1, Krt10, Dsg1, and Dsc1 via  IL-4Rα- and signal transducer and activator of transcription factor 6 (STAT6)-dependent mechanisms in differentiating mouse keratinocytes at early stages. As the expression levels of keratin-1 and -10 in the keratinocytes transiently expressing an active form of STAT6 were not downregulated, STAT6 and  other IL-4-induced molecules may synergistically regulate this expression. The restoration of the downregulated expression levels of Krt1 and Krt10 induced by IL-4 with the MEK (mitogen-activated protein kinase (MAPK)/extracellular signal-regulated kinase kinase) inhibitor U0126 indicated the involvement of the  p44/42 MAPK signaling pathway in the attenuated expression. IL-13 also downregulated the expression of the four genes. Furthermore, IL-4 or IL-13 caused the downregulation of these genes in HaCaT cells and promoted the fragmentation of cell sheets with mechanical stress. Our results showed that IL-4 or IL-13 acted on differentiating keratinocytes in vitro at early stages to attenuate the  gene expression.  DOI: 10.1038/jid.2013.503 	24280725
63. PLoS One. 2013 Nov 8;8(11):e80179. doi: 10.1371/journal.pone.0080179. eCollection	2013.  An aquaporin 3-notch1 axis in keratinocyte differentiation and inflammation.  Guo L(1), Chen H, Li Y, Zhou Q, Sui Y.  Author information:  (1)Key Laboratory of Pollution Processes and Environmental Criteria, College of Environmental Sciences and Engineering, Nankai University, Tianjin, China.  Aquaporin 3 (AQP3) is an aquaglyceroporin which transports water, glycerol and small solutes across the plasma membrane. Its functions are not limited to fluid  transport but also involve the regulation of cell proliferation, migration, skin  hydration, wound healing and tumorigenesis. While AQP3 has been reported to play  an important role in keratinocyte proliferation, its role in differentiation remains controversial. Our study demonstrated that the expression of AQP3 was regulated during differentiation and that it participated in keratinocyte differentiation control. We further revealed that AQP3 was a transcriptional target of Notch signaling, a critical pathway regulating keratinocyte differentiation and tumor suppression, and it regulated differentiation through a reciprocal negative feedback loop with Notch1. When the expression level of AQP3  was elevated, impaired barrier integrity and increased pro-inflammatory cytokine  production ensued, mimicking the pathological conditions in Notch deficient mice  and in atopic dermatitis. Dysregulation of AQP3 and Notch receptors has been reported in several skin diseases, including skin cancer. Our discovery of the novel AQP3-Notch1 axis may provide insight into epidermal homeostasis control and possible translational applications, including its potential use as a biomarker for molecular diagnosis in environmental studies.  DOI: 10.1371/journal.pone.0080179  PMCID: PMC3832656	24260356
64. Cell. 2013 Oct 10;155(2):285-95. doi: 10.1016/j.cell.2013.08.057. Epub 2013 Oct	3.  The epithelial cell-derived atopic dermatitis cytokine TSLP activates neurons to  induce itch.  Wilson SR(1), Thé L, Batia LM, Beattie K, Katibah GE, McClain SP, Pellegrino M, Estandian DM, Bautista DM.  Author information:  (1)Department of Molecular and Cell Biology, University of California, Berkeley,  Berkeley, CA 94720, USA; Helen Wills Neuroscience Institute, University of California, Berkeley, Berkeley, CA 94720, USA.  Comment in     Cell. 2013 Oct 10;155(2):267-9.     Trends Immunol. 2014 Feb;35(2):49-50.  Atopic dermatitis (AD) is a chronic itch and inflammatory disorder of the skin that affects one in ten people. Patients suffering from severe AD eventually progress to develop asthma and allergic rhinitis, in a process known as the "atopic march." Signaling between epithelial cells and innate immune cells via the cytokine thymic stromal lymphopoietin (TSLP) is thought to drive AD and the atopic march. Here, we report that epithelial cells directly communicate to cutaneous sensory neurons via TSLP to promote itch. We identify the ORAI1/NFAT calcium signaling pathway as an essential regulator of TSLP release from keratinocytes, the primary epithelial cells of the skin. TSLP then acts directly  on a subset of TRPA1-positive sensory neurons to trigger robust itch behaviors. Our results support a model whereby calcium-dependent TSLP release by keratinocytes activates both primary afferent neurons and immune cells to promote inflammatory responses in the skin and airways.  Copyright © 2013 Elsevier Inc. All rights reserved.  DOI: 10.1016/j.cell.2013.08.057  PMCID: PMC4041105	24094650
